timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1536581504318,32,MediaUpload,200,OK,Thread Group 1-10,text,true,,327,102069,2,2,32,0,0
1536581504350,8,GetJobId,200,OK,Thread Group 1-10,text,true,,391,250,2,2,8,0,0
1536581504359,35,ShopCart,200,OK,Thread Group 1-10,text,true,,289,444,2,2,35,0,0
1536581504349,45,ShopCart,200,OK,Thread Group 1-9,text,true,,289,444,2,2,45,0,0
1536581504395,71,MediaUpload,200,OK,Thread Group 1-10,text,true,,327,102079,2,2,71,0,0
1536581504395,80,MediaUpload,200,OK,Thread Group 1-9,text,true,,327,102084,2,2,80,0,0
1536581504466,11,GetJobId,200,OK,Thread Group 1-10,text,true,,391,250,1,1,11,0,0
1536581504477,55,ShopCart,200,OK,Thread Group 1-10,text,true,,289,444,1,1,55,0,0
1536581504532,36,MediaUpload,200,OK,Thread Group 1-10,text,true,,327,102074,1,1,36,0,0
1536581504568,10,GetJobId,200,OK,Thread Group 1-10,text,true,,391,250,1,1,10,0,0
1536581504579,140,ShopCart,200,OK,Thread Group 1-10,text,true,,289,444,1,1,140,0,0
1536581504719,23,MediaUpload,200,OK,Thread Group 1-10,text,true,,327,102064,1,1,23,0,0
